filename, language, TypeScript, CSS, JSON, HTML, SCSS, comment, blank, total
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\auth\forbidden\forbidden.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 1
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\auth\forbidden\forbidden.component.ts, TypeScript, 11, 0, 0, 0, 0, 0, 5, 16
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\auth\forbidden\forbiddenmessage\forbiddenmessage.component.html, HTML, 0, 0, 0, 23, 0, 0, 3, 26
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\auth\forbidden\forbiddenmessage\forbiddenmessage.component.ts, TypeScript, 11, 0, 0, 0, 0, 0, 5, 16
c:\Dev\mobilecontrol\src\FrontEnd\src\app\modules\material.module.ts, TypeScript, 84, 0, 0, 0, 0, 5, 5, 94
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\auth.service.ts, TypeScript, 133, 0, 0, 0, 0, 27, 20, 180
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\category.service.ts, TypeScript, 74, 0, 0, 0, 0, 1, 11, 86
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\company.service.ts, TypeScript, 173, 0, 0, 0, 0, 2, 13, 188
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\costcenterarea.service.ts, TypeScript, 84, 0, 0, 0, 0, 1, 12, 97
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\devicemodel.service.ts, TypeScript, 72, 0, 0, 0, 0, 1, 11, 84
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\employee.service.ts, TypeScript, 161, 0, 0, 0, 0, 7, 13, 181
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\equipment.service.ts, TypeScript, 68, 0, 0, 0, 0, 0, 8, 76
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\equipmentlog.service.ts, TypeScript, 56, 0, 0, 0, 0, 0, 7, 63
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\manufacturer.service.ts, TypeScript, 69, 0, 0, 0, 0, 1, 11, 81
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\manufacturercategory.service.ts, TypeScript, 72, 0, 0, 0, 0, 1, 11, 84
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\position.service.ts, TypeScript, 81, 0, 0, 0, 0, 1, 12, 94
c:\Dev\mobilecontrol\src\FrontEnd\src\app\services\subsidiary.service.ts, TypeScript, 81, 0, 0, 0, 0, 1, 12, 94
c:\Dev\mobilecontrol\src\FrontEnd\src\app\shared\custom.validators.ts, TypeScript, 19, 0, 0, 0, 0, 5, 5, 29
c:\Dev\mobilecontrol\src\FrontEnd\src\app\shared\dialog.service.ts, TypeScript, 20, 0, 0, 0, 0, 0, 4, 24
c:\Dev\mobilecontrol\src\FrontEnd\src\app\shared\error.handler.ts, TypeScript, 18, 0, 0, 0, 0, 4, 6, 28
c:\Dev\mobilecontrol\src\FrontEnd\src\app\shared\notification.service.ts, TypeScript, 46, 0, 0, 0, 0, 5, 9, 60
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\calendar\calendar.component.html, HTML, 0, 0, 0, 20, 0, 0, 1, 21
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\calendar\calendar.component.ts, TypeScript, 131, 0, 0, 0, 0, 5, 15, 151
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\calendar\calendar.module.ts, TypeScript, 15, 0, 0, 0, 0, 1, 4, 20
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\calendar\calendar.routing.ts, TypeScript, 11, 0, 0, 0, 0, 0, 4, 15
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\charts\charts.component.html, HTML, 0, 0, 0, 122, 0, 0, 1, 123
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\charts\charts.component.ts, TypeScript, 216, 0, 0, 0, 0, 9, 50, 275
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\charts\charts.module.ts, TypeScript, 15, 0, 0, 0, 0, 1, 4, 20
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\charts\charts.routing.ts, TypeScript, 11, 0, 0, 0, 0, 0, 4, 15
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\buttons\buttons.component.html, HTML, 0, 0, 0, 475, 0, 0, 1, 476
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\buttons\buttons.component.ts, TypeScript, 6, 0, 0, 0, 0, 0, 3, 9
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\components.module.ts, TypeScript, 31, 0, 0, 0, 0, 0, 4, 35
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\components.routing.ts, TypeScript, 52, 0, 0, 0, 0, 0, 4, 56
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\grid\grid.component.html, HTML, 0, 0, 0, 256, 0, 1, 1, 258
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\grid\grid.component.ts, TypeScript, 6, 0, 0, 0, 0, 0, 3, 9
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\icons\icons.component.html, HTML, 0, 0, 0, 28, 0, 0, 1, 29
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\icons\icons.component.ts, TypeScript, 6, 0, 0, 0, 0, 0, 3, 9
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\notifications\notifications.component.html, HTML, 0, 0, 0, 257, 0, 6, 5, 268
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\notifications\notifications.component.ts, TypeScript, 42, 0, 0, 0, 0, 1, 6, 49
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\panels\panels.component.html, HTML, 0, 0, 0, 297, 0, 3, 1, 301
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\panels\panels.component.ts, TypeScript, 6, 0, 0, 0, 0, 0, 3, 9
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\sweetalert\sweetalert.component.html, HTML, 0, 0, 0, 79, 0, 0, 1, 80
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\sweetalert\sweetalert.component.ts, TypeScript, 122, 0, 0, 0, 0, 0, 9, 131
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\typography\typography.component.html, HTML, 0, 0, 0, 103, 0, 0, 1, 104
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\components\typography\typography.component.ts, TypeScript, 6, 0, 0, 0, 0, 0, 3, 9
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\dashboard\dashboard.component.html, HTML, 0, 0, 0, 184, 0, 0, 1, 185
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\dashboard\dashboard.component.ts, TypeScript, 190, 0, 0, 0, 0, 6, 32, 228
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\dashboard\dashboard.module.ts, TypeScript, 22, 0, 0, 0, 0, 1, 3, 26
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\dashboard\dashboard.routing.ts, TypeScript, 13, 0, 0, 0, 0, 0, 4, 17
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\extendedforms\extendedforms.component.html, HTML, 0, 0, 0, 209, 0, 1, 2, 212
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\extendedforms\extendedforms.component.ts, TypeScript, 32, 0, 0, 0, 0, 1, 10, 43
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\forms.module.ts, TypeScript, 33, 0, 0, 0, 0, 0, 5, 38
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\forms.routing.ts, TypeScript, 31, 0, 0, 0, 0, 0, 3, 34
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\regularforms\regularforms.component.html, HTML, 0, 0, 0, 334, 0, 0, 1, 335
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\regularforms\regularforms.component.ts, TypeScript, 7, 0, 0, 0, 0, 0, 4, 11
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\validationforms\field-error-display\field-error-display.component.css, CSS, 0, 12, 0, 0, 0, 1, 1, 14
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\validationforms\field-error-display\field-error-display.component.html, HTML, 0, 0, 0, 6, 0, 1, 1, 8
c:\Dev\mobilecontrol\src\FrontEnd\src\app\template\forms\validationforms\field-error-display\field-error-display.component.ts, TypeScript, 10, 0, 0, 0, 0, 0, 4, 14
